"IMAGE","FILE","ERROR"
"yourls:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20230831/bcmath.so","no package identified in executable file"
"yourls:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20230831/mysqli.so","no package identified in executable file"
"yourls:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20230831/opcache.so","no package identified in executable file"
"yourls:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20230831/pdo_mysql.so","no package identified in executable file"
"yourls:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20230831/sodium.so","no package identified in executable file"
