"IMAGE","FILE","ERROR"
"arangodb:latest","/usr/bin/arangobench","no package identified in executable file"
"arangodb:latest","/usr/bin/arangodump","no package identified in executable file"
"arangodb:latest","/usr/bin/arangoexport","no package identified in executable file"
"arangodb:latest","/usr/bin/arangoimport","no package identified in executable file"
"arangodb:latest","/usr/bin/arangorestore","no package identified in executable file"
"arangodb:latest","/usr/bin/arangovpack","no package identified in executable file"
"arangodb:latest","/usr/sbin/arangod","no package identified in executable file"
