"IMAGE","FILE","ERROR"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/trans/japanese_sjis.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/trans/korean.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/trans/single_byte.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/trans/transdb.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/trans/utf8_mac.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/trans/utf_16_32.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/utf_16be.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/utf_16le.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/utf_32be.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/utf_32le.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/windows_1250.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/windows_1251.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/windows_1252.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/windows_1253.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/windows_1254.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/windows_1257.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/windows_31j.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/erb/escape.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/etc.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/fcntl.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/fiddle.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/io/console.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/io/nonblock.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/io/wait.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/json/ext/generator.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/json/ext/parser.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/monitor.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/nkf.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/objspace.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/openssl.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/pathname.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/psych.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/pty.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/rbconfig/sizeof.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/ripper.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/socket.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/stringio.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/strscan.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/syslog.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/zlib.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/gems/3.3.0/extensions/x86_64-linux/3.3.0/debug-1.9.1/debug/debug.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/gems/3.3.0/extensions/x86_64-linux/3.3.0/racc-1.7.3/racc/cparse.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/gems/3.3.0/extensions/x86_64-linux/3.3.0/rbs-3.4.0/rbs_extension.so","no package identified in executable file"
