"IMAGE",FILE","ERROR"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/_testinternalcapi.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/_testmultiphase.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/_testsinglephase.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/_tkinter.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/_uuid.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/_xxinterpchannels.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/_xxsubinterpreters.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/_xxtestfuzz.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/_zoneinfo.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/array.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/audioop.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/binascii.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/cmath.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/fcntl.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/grp.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/math.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/mmap.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/nis.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/ossaudiodev.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/pyexpat.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/readline.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/resource.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/select.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/spwd.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/syslog.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/termios.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/unicodedata.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/xxlimited.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/xxlimited_35.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/xxsubtype.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/lib-dynload/zlib.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_ARC4.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_Salsa20.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_chacha20.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_pkcs1_decode.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_aes.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_aesni.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_arc2.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_blowfish.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_cast.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_cbc.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_cfb.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_ctr.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_des.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_des3.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_ecb.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_eksblowfish.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_ocb.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Cipher/_raw_ofb.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_BLAKE2b.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_BLAKE2s.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_MD2.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_MD4.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_MD5.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_RIPEMD160.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_SHA1.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_SHA224.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_SHA256.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_SHA384.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_SHA512.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_ghash_clmul.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_ghash_portable.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_keccak.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Hash/_poly1305.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Math/_modexp.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Protocol/_scrypt.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/PublicKey/_ec_ws.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/PublicKey/_ed25519.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/PublicKey/_ed448.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/PublicKey/_x25519.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Util/_cpuid_c.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/Cryptodome/Util/_strxor.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/_cffi_backend.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/charset_normalizer/md.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/charset_normalizer/md__mypyc.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/cryptography/hazmat/bindings/_rust.abi3.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/markupsafe/_speedups.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/pydantic_core/_pydantic_core.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-10.0-amd64.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-10.0-amd64.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-10.0.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-10.0.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-14.0-amd64.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-14.0-amd64.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-14.0.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-14.0.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-6.0.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-6.0.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-7.1.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-7.1.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-8.0.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-8.0.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-9.0-amd64.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-9.0-amd64.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-9.0.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/_distutils/command/wininst-9.0.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/cli-32.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/cli-32.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/cli-64.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/cli-64.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/cli-arm64.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/cli-arm64.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/cli.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/cli.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/gui-32.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/gui-32.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/gui-64.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/gui-64.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/gui-arm64.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/gui-arm64.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/gui.exe","unable to find PE name in file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/setuptools/gui.exe","no package identified in executable file"
"satosa:latest","/usr/local/lib/python3.12/site-packages/yaml/_yaml.cpython-312-x86_64-linux-gnu.so","no package identified in executable file"
