"IMAGE",FILE","ERROR"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSinteger-gmp-1.1-ca94-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSmtl-2.3.1-5795-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSos-string-2.0.2-0dc1-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSparsec-3.1.17.0-1b1a-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSpretty-1.1.3.6-d8d5-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSprocess-1.6.19.0-e190-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSrts-1.0.2-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSrts-1.0.2_debug-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSrts-1.0.2_thr-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSrts-1.0.2_thr_debug-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSsemaphore-compat-1.0.0-f7a7-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSstm-2.5.3.1-c35d-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHStemplate-haskell-2.22.0.0-db67-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSterminfo-0.4.1.6-53ae-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHStext-2.1.1-d003-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHStime-1.12.2-a708-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHStransformers-0.6.1.1-2d66-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSunix-2.8.5.1-839a-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSxhtml-3000.2.2.1-ce35-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libffi.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libffi.so.8","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libffi.so.8.1.4","no package identified in executable file"
"haskell:latest","/usr/local/bin/cabal","no package identified in executable file"
"haskell:latest","/usr/local/bin/stack","no package identified in executable file"
"haskell:latest","/var/lib/dpkg/info/bash.preinst","no package identified in executable file"
